Animals amount;Plants amount;Free tiles amount;Average energy;Dead animals average age;Average children amount;Most popular genotypes
5;11;10;9.0;10.0;0.8;[0, 7, 3, 6, 2] [7, 3, 0, 1, 1] [7, 6, 0, 6, 5] 
4;12;10;11.5;10.0;0.75;[0, 7, 3, 6, 2] [7, 3, 0, 1, 1] [7, 6, 0, 6, 5] 
4;12;10;13.0;10.0;0.75;[0, 7, 3, 6, 2] [7, 3, 0, 1, 1] [7, 6, 0, 6, 5] 
4;13;9;14.5;10.0;0.75;[0, 7, 3, 6, 2] [7, 3, 0, 1, 1] [7, 6, 0, 6, 5] 
4;10;12;18.5;10.0;0.75;[0, 7, 3, 6, 2] [7, 3, 0, 1, 1] [7, 6, 0, 6, 5] 
4;12;11;18.75;10.0;0.75;[0, 7, 3, 6, 2] [7, 3, 0, 1, 1] [7, 6, 0, 6, 5] 
4;12;10;21.5;10.0;0.75;[0, 7, 3, 6, 2] [7, 3, 0, 1, 1] [7, 6, 0, 6, 5] 
4;11;10;21.75;10.0;0.75;[0, 7, 3, 6, 2] [7, 3, 0, 1, 1] [7, 6, 0, 6, 5] 
4;12;10;23.25;10.0;0.75;[0, 7, 3, 6, 2] [7, 3, 0, 1, 1] [7, 6, 0, 6, 5] 
4;11;11;24.75;10.0;0.75;[0, 7, 3, 6, 2] [7, 3, 0, 1, 1] [7, 6, 0, 6, 5] 
6;11;12;16.666666666666668;10.0;1.1666666666666667;[0, 7, 3, 6, 2] [5, 1, 4, 4, 4] [7, 3, 0, 1, 1] 
7;10;10;14.857142857142858;10.0;1.2857142857142858;[0, 7, 3, 6, 2] [5, 1, 4, 4, 4] [7, 3, 0, 1, 1] 
7;7;12;16.0;10.0;1.2857142857142858;[0, 7, 3, 6, 2] [5, 1, 4, 4, 4] [7, 3, 0, 1, 1] 
8;6;15;15.625;10.0;1.375;[4, 4, 5, 7, 3] [0, 7, 3, 6, 2] [5, 1, 4, 4, 4] 
8;6;12;15.875;10.0;1.375;[4, 4, 5, 7, 3] [0, 7, 3, 6, 2] [5, 1, 4, 4, 4] 
8;6;12;16.125;10.0;1.375;[4, 4, 5, 7, 3] [0, 7, 3, 6, 2] [5, 1, 4, 4, 4] 
8;6;13;17.625;10.0;1.375;[4, 4, 5, 7, 3] [0, 7, 3, 6, 2] [5, 1, 4, 4, 4] 
8;6;11;17.25;10.0;1.375;[4, 4, 5, 7, 3] [0, 7, 3, 6, 2] [5, 1, 4, 4, 4] 
9;8;11;15.0;10.0;1.4444444444444444;[4, 4, 5, 7, 3] [0, 7, 3, 6, 2] [4, 6, 2, 4, 7] 
10;8;10;13.6;10.0;1.5;[4, 4, 5, 7, 3] [0, 7, 3, 6, 2] [4, 6, 2, 4, 7] 
10;8;7;13.6;10.0;1.5;[4, 4, 5, 7, 3] [0, 7, 3, 6, 2] [4, 6, 2, 4, 7] 
9;7;10;16.333333333333332;15.0;1.3333333333333333;[4, 4, 5, 7, 3] [0, 7, 3, 6, 2] [4, 6, 2, 4, 7] 
11;8;12;13.454545454545455;15.0;1.4545454545454546;[4, 4, 5, 7, 3] [0, 7, 3, 6, 2] [2, 2, 1, 4, 3] 
