Animals amount;Plants amount;Free tiles amount;Average energy;Dead animals average age;Average children amount;Most popular genotypes
5;6;14;4.0;NaN;0.0;[4, 6, 0, 3, 6] [4, 4, 4, 4, 1] [0, 5, 2, 7, 3] 
5;8;14;3.0;NaN;0.0;[4, 6, 0, 3, 6] [4, 4, 4, 4, 1] [0, 5, 2, 7, 3] 
5;8;13;3.0;NaN;0.0;[4, 6, 0, 3, 6] [4, 4, 4, 4, 1] [0, 5, 2, 7, 3] 
5;7;13;3.0;NaN;0.0;[4, 6, 0, 3, 6] [4, 4, 4, 4, 1] [0, 5, 2, 7, 3] 
